id,status,name,system
309235457,D,akkuPackages.chibi-scribble,x86_64-darwin
309235459,D,akkuPackages.chibi-show,aarch64-darwin
309235461,D,akkuPackages.chibi-show,x86_64-darwin
309235463,D,akkuPackages.chibi-snow-commands,aarch64-darwin
309235465,D,akkuPackages.chibi-snow-commands,x86_64-darwin
309235467,D,akkuPackages.chibi-sqlite3,aarch64-darwin
309235469,D,akkuPackages.chibi-sqlite3,x86_64-darwin
309235471,D,akkuPackages.chibi-string,aarch64-darwin
309235472,D,akkuPackages.chibi-string,x86_64-darwin
309235477,D,akkuPackages.chibi-sxml,aarch64-darwin
309235476,D,akkuPackages.chibi-sxml,x86_64-darwin
309235481,D,akkuPackages.chibi-tar,aarch64-darwin
309235480,D,akkuPackages.chibi-tar,x86_64-darwin
309235484,D,akkuPackages.chibi-temp-file,aarch64-darwin
309235485,D,akkuPackages.chibi-temp-file,x86_64-darwin
309235487,D,akkuPackages.chibi-term-ansi,aarch64-darwin
309235488,D,akkuPackages.chibi-term-ansi,x86_64-darwin
309235490,D,akkuPackages.chibi-term-edit-line,aarch64-darwin
309235494,D,akkuPackages.chibi-term-edit-line,x86_64-darwin
309235495,D,akkuPackages.chibi-test,aarch64-darwin
309235496,D,akkuPackages.chibi-test,x86_64-darwin
309235500,D,akkuPackages.chibi-uri,aarch64-darwin
309235501,D,akkuPackages.chibi-uri,x86_64-darwin
309235507,D,akkuPackages.chrisoei-cint,aarch64-darwin
309235508,D,akkuPackages.chrisoei-cint,x86_64-darwin
309235512,D,akkuPackages.chrisoei-test,aarch64-darwin
309235513,D,akkuPackages.chrisoei-test,x86_64-darwin
309235515,D,akkuPackages.comparators,aarch64-darwin
309235516,D,akkuPackages.comparators,x86_64-darwin
309235523,D,akkuPackages.compression,aarch64-darwin
309235520,D,akkuPackages.compression,x86_64-darwin
309235525,D,akkuPackages.conjure,aarch64-darwin
309235526,D,akkuPackages.conjure,x86_64-darwin
309235531,D,akkuPackages.cyclone-iset-base,aarch64-darwin
309235534,D,akkuPackages.cyclone-iset-base,x86_64-darwin
309235542,D,akkuPackages.cyclone-iset-constructors,aarch64-darwin
309235537,D,akkuPackages.cyclone-iset-constructors,x86_64-darwin
309235538,D,akkuPackages.cyclone-iset-iterators,aarch64-darwin
309235540,D,akkuPackages.cyclone-iset-iterators,x86_64-darwin
309235544,D,akkuPackages.cyclone-iset-optimize,aarch64-darwin
309235547,D,akkuPackages.cyclone-iset-optimize,x86_64-darwin
309235527,D,akkuPackages.cyclone-iset,aarch64-darwin
309235528,D,akkuPackages.cyclone-iset,x86_64-darwin
309235555,D,akkuPackages.edn,aarch64-darwin
309235554,D,akkuPackages.edn,x86_64-darwin
309235557,D,akkuPackages.fisherro-pipe,aarch64-darwin
309235559,D,akkuPackages.fisherro-pipe,x86_64-darwin
309235560,D,akkuPackages.generators,aarch64-darwin
309235562,D,akkuPackages.generators,x86_64-darwin
309235567,D,akkuPackages.hashing,aarch64-darwin
309235568,D,akkuPackages.hashing,x86_64-darwin
309235572,D,akkuPackages.ijputils,aarch64-darwin
309235574,D,akkuPackages.ijputils,x86_64-darwin
309235575,D,akkuPackages.image-formats,aarch64-darwin
309235576,D,akkuPackages.image-formats,x86_64-darwin
309235581,D,akkuPackages.independentresearch-xattr,aarch64-darwin
309235584,D,akkuPackages.independentresearch-xattr,x86_64-darwin
309235582,D,akkuPackages.industria,aarch64-darwin
