name,x86_64-linux,aarch64-linux,x86_64-darwin,aarch64-darwin
haskellPackages.executable-hash,,,,328428326
haskellPackages.exinst-base,,,328428331,328428351
haskellPackages.fold-debounce-conduit,,,,328428915
haskellPackages.freetype2,,328429089,328429091,328429088
haskellPackages.genvalidity-dirforest,,,328429686,328429629
haskellPackages.gi-gdkx113,,,328430061,328430090
haskellPackages.gi-gdkx114,,,328726972,328726971
haskellPackages.gi-gtkosxapplication,,,328727004,328727018
haskellPackages.gi-soup3,,,328430182,328430184
haskellPackages.grisette,,,328984115,
haskellPackages.gtk-mac-integration,,,328431386,328431380
haskellPackages.gtk-traymanager,,,328431410,328431434
haskellPackages.gtk3-mac-integration,,,328431422,328431444
haskellPackages.hamid,,,328431622,328431628
haskellPackages.hdf5,,,328432106,328432127
haskellPackages.heftia-effects,,,328432187,328432186
haskellPackages.heph-aligned-storable,,,328432211,328432207
haskellPackages.hevm,,,328432314,
haskellPackages.highlight,,,328432412,328432429
haskellPackages.hlibgit2,,328844740,328432541,
haskellPackages.huckleberry,,,328433753,328433760
haskellPackages.hunspell-hs,,,328433764,328433774
haskellPackages.hw-json-simd,,328433806,,328433813
haskellPackages.ihp-ide,329083668,329083665,328969382,328969377
haskellPackages.implicit,,,328434113,328434112
haskellPackages.inline-asm,,,328434235,
haskellPackages.kqueue,,,328435091,328435111
haskellPackages.libtorch-ffi,,,,328435649
haskellPackages.llvm-tf,,,328435957,328435954
haskellPackages.memcache,,,328436590,328436592
haskellPackages.memzero,,,328436697,328436639
haskellPackages.minici,,,328436850,328436862
haskellPackages.miso-examples,328727108,328727106,,
haskellPackages.network-can,,,328437893,328437914
haskellPackages.om-time,,,328438541,328438564
haskellPackages.perceptual-hash,,,328439437,328439418
haskellPackages.persistent-pagination,,,328439478,328439463
haskellPackages.ping-wrapper,,,328439603,328439616
haskellPackages.pipes-zlib,,,328439736,328439748
haskellPackages.posix-socket,,,328440010,328440005
haskellPackages.posix-timer,,,328440016,328440009
haskellPackages.posix-waitpid,,,328440079,328440056
haskellPackages.pthread,,,328440709,328440744
haskellPackages.rawfilepath,,,328441204,328441202
haskellPackages.rdtsc-enolan,,328441230,,328441232
haskellPackages.rdtsc,,328441236,,328441234
haskellPackages.sdl2-cairo,,,328442472,328442542
haskellPackages.sdl2-mixer,328948837,328948839,,
haskellPackages.select,,,328442493,328442489
haskellPackages.sha256,,,328442935,328442933
haskellPackages.simdutf,,328443233,,
haskellPackages.socket,,,328443655,328443660
haskellPackages.store,,,328444247,328444245
haskellPackages.system-linux-proc,,,328444865,328444851
haskellPackages.tailfile-hinotify,,,328444945,328444951
haskellPackages.termbox-bindings-c,,,328445331,328445293
haskellPackages.timeout-snooze,,,328445939,
haskellPackages.vulkan-utils,328844999,,328727203,
haskellPackages.wai-middleware-metrics,,,328447698,328447686
haskellPackages.xgboost-haskell,328727211,,,
haskellPackages.xls,,,328448341,328448289
haskellPackages.xmonad-utils,,,328448453,328448390
haskellPackages.zlib-bytes,,,328448906,328448899
haskellPackages.zot,,,328448953,328448940
hdate,,,328449196,328449141
hdf5-blosc,,,328449172,328449159
hexagonrpc,,,328449481,328449471
hgrep,,328449560,,
hime,328969597,328969606,,
home-assistant-custom-components.homematicip_local,329241877,,,
home-assistant-custom-components.mypyllant,329241879,329241898,,
home-assistant-custom-components.thewatchman,329241894,,,
home-assistant-custom-components.yandex-station,329241900,329241904,,
home-assistant-custom-lovelace-modules.advanced-camera-card,,,329083801,
honeytail,,,328727793,
hooky,328450326,328450289,328450287,328450309
hsd,,,329083884,329083919
httptoolkit,,,329217218,
hygg,,,,328451323
hyprlandPlugins.hy3,329217239,329217219,,
hyprlandPlugins.hypr-darkwindow,329217233,329217221,,
hyprlandPlugins.hypr-dynamic-cursors,329217234,329217227,,
hyprlandPlugins.hyprspace,329217228,329217232,,
hyprlandPlugins.hyprsplit,329217229,329217230,,
hyprlandPlugins.imgborders,329217235,329217231,,
hyprproxlock,,,328451828,328451851
icesprog,,,328452093,328452102
iconpack-jade,329241934,329241933,,
id3,,,328728259,328728248
idrisPackages.eternal,,,328452448,328452408
idrisPackages.mhd,,,328452506,328452504
idrisPackages.pacman,,,328452585,328452522
imageworsener,328452840,328452838,328452839,328452868
indilib,,,328453154,328453152
inspircd,,,328969766,328969760
intelli-shell,,,329138283,329138281
intensity-normalization,329138285,329138287,329138289,329138286
ioping,,,328453568,328453570
ip2unix,,328845973,,
